"Daily Weather Observations for Sydney, New South Wales for October 2017"
"Prepared at 13:00 UTC on Friday 10 August 2018   IDCJDW2124.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,11.2,23.1,0,6.0,10.6,W,31,09:30,15.4,65,1,W,11,1022.0,19.3,36,1,E,22,1019.0
,2017-10-2,12.0,22.9,0,6.2,10.1,NE,44,17:23,16.7,55,2,WNW,11,1024.2,21.3,60,3,E,24,1021.3
,2017-10-3,16.7,22.1,0,7.0,5.4,NNE,39,17:15,18.9,69,6,W,9,1023.2,20.1,65,7,ENE,22,1020.1
,2017-10-4,15.6,23.8,0,3.6,8.7,SE,30,08:55,20.4,72,2,S,17,1021.8,22.1,58,7,ESE,20,1019.9
,2017-10-5,16.5,23.4,0,5.0,9.6,NNE,41,17:41,19.5,73,4,W,9,1018.8,22.6,64,1,ENE,17,1013.1
,2017-10-6,18.0,22.1,0,6.6,4.7,SSW,39,08:01,18.9,66,6,SSW,24,1013.5,20.3,46,3,SE,19,1015.8
,2017-10-7,13.7,22.0,0,6.2,8.7,SSW,43,00:29,16.2,52,6,SW,11,1023.4,21.1,46,3,SSE,20,1021.2
,2017-10-8,13.0,21.4,0,4.8,2.3,ENE,31,12:56,16.6,70,7,WNW,13,1020.7,19.6,64,8,NE,17,1016.0
,2017-10-9,16.6,30.0,,2.6,8.3,S,48,20:01,20.1,74,1,W,9,1011.2,27.5,45,2,NE,20,1006.1
,2017-10-10,16.1,21.3,0,8.0,4.7,ENE,39,19:26,19.0,62,7,ESE,9,1018.1,20.5,59,5,E,19,1016.5
,2017-10-11,18.0,23.2,0,5.6,3.8,NNE,48,02:44,19.3,86,7,ENE,13,1017.4,22.6,75,6,NE,17,1012.3
,2017-10-12,19.2,29.6,,3.6,9.6,SW,46,13:23,23.2,61,6,E,2,1008.8,27.3,30,1,SSE,24,1010.1
,2017-10-13,14.7,23.2,0,7.2,10.5,NE,46,16:06,18.4,69,7,WNW,9,1019.0,22.7,55,1,ENE,26,1015.5
,2017-10-14,17.1,22.3,0,7.6,0.0,S,54,03:11,18.7,63,8,SE,28,1023.2,18.2,61,7,SSE,26,1023.1
,2017-10-15,16.0,22.4,0,3.8,2.4,ESE,28,02:22,22.3,52,5,SE,17,1024.9,20.1,58,7,ESE,17,1024.7
,2017-10-16,15.9,23.3,0,5.0,10.4,E,30,15:57,22.4,55,5,E,13,1028.0,22.3,50,1,E,20,1026.7
,2017-10-17,16.9,23.5,0,7.6,9.9,ENE,39,14:28,21.2,57,6,NNE,22,1028.3,22.9,47,3,E,28,1026.5
,2017-10-18,18.8,23.2,0,9.0,10.4,NNE,50,11:33,20.9,64,5,ENE,20,1028.9,22.5,56,5,NE,28,1026.1
,2017-10-19,17.1,25.3,0,10.0,11.4,NNE,52,18:44,22.1,52,0,N,17,1025.2,24.6,47,2,NE,26,1020.0
,2017-10-20,19.0,19.6,7.8,9.2,0.0,S,56,11:41,19.6,87,8,NNE,2,1019.6,15.3,85,8,S,22,1020.8
,2017-10-21,13.0,20.0,16.4,4.4,11.3,SSW,50,11:28,16.8,52,1,SSW,24,1021.9,18.9,53,6,SSE,28,1019.3
,2017-10-22,13.4,21.7,0.2,4.8,5.5,ESE,30,12:43,16.0,75,6,WNW,9,1015.3,18.7,60,6,ESE,17,1013.0
,2017-10-23,12.7,23.0,3.4,3.6,12.1,S,31,09:21,18.0,60,3,W,7,1018.1,22.1,43,1,ESE,20,1017.2
,2017-10-24,13.9,24.3,0,6.8,10.5,NE,39,16:34,19.9,57,,W,4,1019.0,22.6,55,3,NE,26,1015.1
,2017-10-25,18.0,26.9,0,8.0,5.0,S,59,19:09,21.0,67,8,SSE,9,1013.9,23.3,56,5,E,19,1008.5
,2017-10-26,17.2,24.6,0.4,7.0,6.5,WSW,63,22:59,19.7,73,7,SSW,9,1007.6,22.6,63,7,SSE,24,1003.2
,2017-10-27,14.8,24.2,34.2,7.2,3.9,WSW,61,23:19,18.1,85,6,SSW,28,1008.6,22.3,65,7,SSW,20,1009.9
,2017-10-28,17.5,25.1,0.2,3.2,7.7,ENE,35,13:31,21.6,66,3,SE,6,1011.5,22.3,65,7,ENE,20,1008.2
,2017-10-29,20.2,29.6,0.2,4.6,10.6,NNE,39,18:17,24.4,49,2,W,11,1008.6,27.7,35,3,NE,19,1005.1
,2017-10-30,20.3,35.4,0,11.4,9.3,SSW,69,16:31,28.5,37,1,NNW,22,1003.0,34.9,13,5,NW,37,998.3
,2017-10-31,13.0,20.5,0,12.0,10.1,SSE,57,16:25,15.8,43,7,SW,20,1014.7,19.7,36,1,S,31,1013.0
