"Daily Weather Observations for Sydney, New South Wales for November 2017"
"Prepared at 13:00 UTC on Thursday  9 August 2018   IDCJDW2124.201711"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-11-1,13.0,22.2,0,9.6,4.2,SSW,54,00:11,15.4,39,7,WSW,17,1013.8,21.0,32,7,ESE,20,1010.4
,2017-11-2,15.3,22.6,0,5.6,9.9,ESE,31,13:17,20.1,56,3,S,11,1014.2,21.8,46,1,ESE,20,1012.4
,2017-11-3,16.9,26.9,0,6.6,5.9,SSW,57,19:58,20.6,58,7,NNW,11,1012.0,25.7,48,6,E,20,1008.3
,2017-11-4,16.2,17.1,1.6,7.4,0.0,SSE,39,09:14,17.0,73,7,SSE,15,1017.6,15.8,78,8,SSE,19,1018.2
,2017-11-5,14.1,19.5,31.8,2.6,0.0,ENE,39,22:44,14.9,85,8,ESE,24,1022.6,17.7,59,8,E,15,1020.9
,2017-11-6,14.8,26.3,4.4,1.8,5.7,SSW,67,17:52,19.4,81,8,N,20,1008.7,23.6,57,4,WSW,28,1002.7
,2017-11-7,13.8,21.8,5.6,8.8,11.3,SSE,54,16:09,18.9,40,2,SSW,20,1015.8,20.0,40,1,SSE,35,1016.2
,2017-11-8,14.6,21.7,0,9.6,10.0,SSE,44,07:32,16.8,54,7,S,20,1025.7,20.5,44,1,SE,22,1025.4
,2017-11-9,12.3,22.1,0,6.8,11.6,E,28,12:25,17.9,52,2,W,11,1027.9,21.2,50,1,E,20,1025.7
,2017-11-10,14.2,23.4,0,6.8,11.6,E,26,15:37,19.2,59,4,WNW,11,1028.8,22.7,50,3,ENE,20,1026.5
,2017-11-11,14.7,23.7,0,7.4,8.6,ENE,33,14:59,19.9,58,3,WNW,9,1027.8,20.9,56,5,ENE,22,1024.9
,2017-11-12,17.1,22.5,0,7.4,10.7,E,31,17:40,19.7,49,6,ENE,9,1026.4,21.7,47,1,E,22,1023.9
,2017-11-13,17.5,22.3,0,6.4,9.1,E,33,14:14,19.1,48,4,ESE,11,1024.8,21.2,42,2,ESE,24,1022.7
,2017-11-14,16.0,22.9,0,7.6,8.9,ENE,37,16:56,20.0,53,5,NNE,4,1023.7,22.3,46,2,E,24,1020.6
,2017-11-15,16.0,24.4,0,7.6,12.0,ENE,54,16:36,22.6,53,1,E,13,1020.3,23.4,57,1,NE,24,1017.1
,2017-11-16,18.6,24.4,0,11.0,7.7,ENE,46,10:17,23.2,49,3,NE,26,1016.8,22.7,58,7,NE,24,1014.9
,2017-11-17,19.0,24.0,0.4,8.2,6.5,NE,50,12:54,22.4,61,7,NE,24,1018.0,22.0,56,7,NE,28,1016.5
,2017-11-18,19.1,22.6,0.2,8.4,1.1,ENE,44,09:35,19.9,73,7,ENE,24,1019.7,20.8,66,7,ENE,30,1019.5
,2017-11-19,17.4,23.6,2.4,5.6,9.7,ESE,35,15:16,22.3,52,6,ESE,13,1023.7,23.0,51,4,ESE,20,1023.0
,2017-11-20,17.5,22.9,2.8,,1.8,ESE,35,06:25,18.4,80,7,WNW,4,1025.9,22.4,56,7,E,19,1024.7
,2017-11-21,17.6,23.6,1.6,11.2,5.3,E,33,16:18,21.5,44,7,ESE,9,1024.7,23.2,49,2,ESE,20,1022.8
,2017-11-22,17.4,24.4,7.8,4.6,7.4,E,31,17:04,18.3,84,7,SSE,9,1021.3,23.6,54,3,E,19,1018.6
,2017-11-23,17.3,24.7,0,5.6,11.1,E,39,14:31,23.3,56,2,ESE,9,1017.9,23.9,56,1,E,30,1014.9
,2017-11-24,18.2,25.9,0,10.8,9.3,NE,41,13:35,23.4,59,1,E,6,1017.2,24.5,54,3,NE,26,1015.2
,2017-11-25,18.9,26.4,0,8.0,12.6,ENE,35,15:46,23.8,59,1,NE,17,1018.7,24.3,62,1,E,22,1016.7
,2017-11-26,19.3,26.8,0,8.4,10.1,NE,48,14:38,24.4,65,5,E,13,1017.7,24.8,64,2,NE,28,1015.1
,2017-11-27,20.6,25.1,0,8.6,1.9,ENE,39,16:41,23.7,66,8,NE,13,1015.9,24.5,65,7,NE,19,1014.8
,2017-11-28,19.3,27.7,0,5.8,11.1,SE,35,12:04,25.1,64,4,E,11,1018.8,26.9,59,5,ESE,24,1018.0
,2017-11-29,20.6,26.4,0.8,,7.7,E,26,12:48,22.8,78,7,ESE,15,1020.4,25.8,64,7,ESE,19,1018.3
,2017-11-30,20.2,26.7,1.8,10.8,10.9,ENE,48,17:04,24.4,66,6,E,13,1018.4,25.9,62,2,ENE,28,1015.8
