"Daily Weather Observations for Sydney, New South Wales for December 2017"
"Prepared at 13:00 UTC on Wednesday  8 August 2018   IDCJDW2124.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,20.1,27.5,0.2,8.6,11.3,NE,59,15:41,25.4,62,1,E,17,1015.4,26.6,57,5,NE,31,1011.0
,2017-12-2,19.7,26.8,0,11.0,1.3,WNW,72,14:22,22.9,72,7,NE,17,1006.4,24.6,62,8,NE,17,1003.1
,2017-12-3,16.9,29.2,10.8,0.6,13.5,E,37,14:15,22.1,45,1,W,20,1006.2,23.7,50,3,E,24,1005.3
,2017-12-4,16.1,18.6,3.0,10.0,0.4,SSW,52,08:40,16.8,79,7,SSW,24,1011.4,17.1,81,8,SSW,22,1010.1
,2017-12-5,16.0,25.3,7.6,0.6,5.9,SSW,63,15:35,18.4,71,7,SSW,19,1007.6,23.8,54,2,SSW,33,1004.6
,2017-12-6,18.2,26.0,0.2,10.2,5.7,SW,44,13:11,19.8,59,7,W,17,1003.2,19.3,68,7,SW,13,1001.7
,2017-12-7,17.5,31.3,5.8,6.4,12.6,NE,43,16:39,25.2,39,1,WNW,13,1006.4,28.3,32,5,ENE,11,1004.3
,2017-12-8,21.4,27.7,0,12.8,8.9,SE,50,15:37,22.8,44,5,NW,6,1009.1,23.7,52,6,SSE,31,1010.7
,2017-12-9,18.1,24.1,0,8.0,7.9,SSE,35,00:37,21.4,52,7,SE,13,1019.9,22.6,46,4,E,19,1018.8
,2017-12-10,17.3,24.8,0,7.4,12.7,ENE,39,16:48,23.0,54,3,ESE,9,1023.0,24.2,50,1,ENE,26,1020.7
,2017-12-11,18.0,26.5,0,10.4,13.1,ENE,43,13:53,24.0,49,1,NE,6,1020.5,25.8,47,2,ENE,33,1017.0
,2017-12-12,20.3,27.0,0,10.2,12.2,ENE,41,15:34,25.2,56,5,E,19,1019.3,25.2,57,1,E,31,1015.9
,2017-12-13,19.3,28.0,0,10.0,13.0,NNE,56,15:49,24.7,59,1,ESE,7,1014.4,28.0,52,1,ENE,13,1010.3
,2017-12-14,20.9,30.8,0,9.2,11.6,NNE,59,17:55,27.3,54,1,E,11,1008.3,29.9,43,2,E,19,1005.1
,2017-12-15,20.7,26.6,0.2,13.4,0.1,SSW,54,05:06,21.9,73,8,SSW,24,1013.1,26.3,61,7,S,7,1012.1
,2017-12-16,21.4,28.5,1.4,2.6,11.6,NE,48,17:11,25.3,67,3,ENE,7,1014.2,25.9,61,2,ENE,22,1011.6
,2017-12-17,21.9,26.8,0.6,10.0,1.1,SE,39,02:41,23.1,82,7,SE,15,1015.7,24.5,71,7,SSE,20,1015.1
,2017-12-18,21.1,27.6,0.2,3.2,5.8,ENE,33,13:44,24.8,69,4,NW,7,1013.4,25.6,64,7,ENE,22,1009.4
,2017-12-19,22.3,35.3,0,6.4,5.2,NNE,57,16:10,25.4,69,7,E,6,1009.4,30.1,50,7,NNE,35,1003.7
,2017-12-20,25.2,38.3,0,11.4,8.6,SSW,78,15:16,35.3,32,5,ESE,9,1005.0,27.1,60,6,SSE,26,1006.3
,2017-12-21,21.2,24.5,3.0,,1.1,ESE,39,09:02,23.7,62,7,SE,17,1017.4,22.9,64,7,ESE,26,1017.4
,2017-12-22,21.2,26.1,0.2,13.6,7.9,ENE,35,15:40,23.9,63,7,E,15,1016.4,25.0,59,2,E,20,1014.8
,2017-12-23,20.1,28.3,0,7.6,12.3,NE,41,17:44,24.8,61,1,ESE,9,1013.0,26.7,56,2,ENE,17,1008.8
,2017-12-24,21.0,37.7,0,10.0,7.6,SSE,50,19:55,28.3,53,3,W,9,1007.2,28.4,52,7,SSE,19,1005.1
,2017-12-25,18.5,21.7,1.2,10.0,0.2,SSE,46,00:37,20.0,64,8,SSE,19,1015.5,21.0,62,8,SSE,26,1016.2
,2017-12-26,19.5,23.8,0,5.2,0.0,ENE,43,19:29,21.3,54,7,ESE,20,1019.4,22.6,54,7,E,17,1018.6
,2017-12-27,18.8,26.2,3.0,4.6,10.9,E,43,13:04,23.7,60,6,ENE,19,1019.0,24.9,62,6,E,28,1017.0
,2017-12-28,19.2,27.4,0,9.8,10.8,ENE,44,14:20,25.0,59,5,E,13,1017.1,26.2,57,7,ENE,26,1013.6
,2017-12-29,21.3,28.8,0,8.2,8.4,NE,33,17:10,25.6,72,5,E,11,1012.5,28.3,58,6,ENE,19,1008.6
,2017-12-30,22.4,36.2,3.8,8.4,8.0,WNW,44,13:44,23.6,82,8,WSW,4,1005.0,34.8,27,3,W,20,1001.7
,2017-12-31,20.1,25.3,6.0,9.2,7.1,,,,21.1,76,7,E,13,1012.6,24.6,61,7,ENE,31,1009.8
