"Daily Weather Observations for Sydney, New South Wales for February 2018"
"Prepared at 13:00 UTC on Monday 20 August 2018   IDCJDW2124.201802"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-02-1,16.9,24.6,0,6.4,8.1,SSE,48,00:19,19.3,51,5,SW,19,1015.2,23.9,40,6,SE,22,1014.7
,2018-02-2,15.9,24.4,2.0,7.4,3.6,E,44,08:54,18.3,75,7,SW,9,1017.7,22.4,54,7,SSE,30,1016.9
,2018-02-3,16.6,26.0,27.2,6.4,6.1,SSE,56,12:45,18.5,87,7,W,13,1020.3,24.5,48,7,SSE,26,1020.0
,2018-02-4,16.6,26.1,1.8,8.2,11.5,SE,39,10:07,20.5,72,7,S,13,1023.2,25.7,47,2,ESE,22,1022.1
,2018-02-5,16.9,25.9,0,5.6,11.6,ENE,37,16:30,21.7,62,1,WNW,13,1021.5,24.7,47,4,ENE,20,1018.9
,2018-02-6,18.7,27.0,0,8.6,10.4,E,35,15:32,21.9,67,6,WNW,9,1020.7,25.7,46,1,ENE,26,1019.6
,2018-02-7,19.8,27.2,0,8.0,11.8,ENE,44,16:40,23.8,58,2,WNW,9,1021.9,26.2,51,2,ENE,30,1020.1
,2018-02-8,18.9,28.6,0,11.4,11.9,NNE,54,17:35,24.0,53,1,N,15,1020.5,27.9,46,3,NE,28,1015.7
,2018-02-9,21.6,30.4,0,9.8,4.8,SSE,57,16:06,24.8,61,6,S,2,1014.2,28.4,57,7,E,22,1010.9
,2018-02-10,21.8,28.2,4.6,5.8,11.3,W,46,21:29,24.6,76,5,S,13,1011.8,27.2,59,1,E,17,1007.3
,2018-02-11,21.5,29.6,2.4,8.6,5.3,SE,57,13:06,24.2,60,6,W,15,1003.9,25.8,57,5,SSE,39,1004.1
,2018-02-12,21.7,27.6,0,7.6,9.1,E,39,15:37,24.0,65,4,W,6,1008.2,26.4,60,6,ENE,30,1006.4
,2018-02-13,23.5,28.4,0,7.2,9.8,ENE,39,16:06,24.2,73,6,SSW,11,1012.0,27.6,58,4,E,26,1010.4
,2018-02-14,23.1,34.5,0,7.0,9.4,S,76,22:16,24.7,77,8,NW,7,1008.8,30.5,52,0,ENE,20,1004.3
,2018-02-15,21.3,27.0,0,12.0,8.9,SSE,50,23:01,24.6,51,4,E,7,1015.8,26.8,55,1,E,31,1010.7
,2018-02-16,19.9,30.7,0,8.2,9.9,ESE,41,15:16,23.4,70,3,WNW,7,1010.5,27.0,46,3,SE,22,1010.2
,2018-02-17,22.4,26.9,0,9.4,11.1,ENE,50,16:45,24.5,56,4,ENE,17,1015.5,25.7,51,1,NE,26,1012.6
,2018-02-18,22.2,28.2,0,9.6,10.2,ENE,50,14:09,24.9,71,7,NNE,6,1013.1,26.4,65,3,ENE,33,1010.4
,2018-02-19,23.7,29.5,0,8.8,4.7,SSE,41,15:51,26.6,63,5,ESE,17,1012.1,28.1,52,5,SE,24,1011.8
,2018-02-20,20.4,23.6,1.8,8.8,2.3,,,,21.5,52,6,SSE,37,1018.6,22.0,49,7,SSE,31,1019.0
,2018-02-21,18.1,25.0,0,7.0,4.1,SE,28,07:01,19.0,70,7,WNW,13,1019.8,24.3,46,7,E,17,1017.3
,2018-02-22,19.0,26.5,0,6.2,2.7,,,,20.7,63,8,WNW,11,1017.9,25.8,43,7,NE,19,1015.8
,2018-02-23,20.0,26.8,0,6.2,9.4,,,,25.8,57,4,W,13,1016.8,26.4,60,6,NE,30,1013.9
,2018-02-24,21.4,31.0,0,11.6,8.3,NNE,54,16:58,24.9,66,7,S,4,1010.5,29.0,52,7,NNE,19,1005.7
,2018-02-25,22.0,22.1,0,6.6,0.0,SSE,54,08:39,22.0,78,7,SSW,31,1006.8,19.9,78,8,S,28,1008.1
,2018-02-26,17.0,23.6,69.4,6.8,1.5,SSE,56,15:54,17.3,86,8,S,19,1013.1,22.8,56,7,SSE,31,1013.6
,2018-02-27,16.7,26.1,3.4,4.6,9.1,SE,33,13:01,19.8,69,5,SSW,15,1018.6,24.0,46,4,ESE,20,1016.9
,2018-02-28,16.4,26.6,0.2,6.2,12.0,ENE,31,12:18,22.0,53,1,NNW,17,1014.0,25.8,55,2,E,20,1008.1
