"Daily Weather Observations for Sydney, New South Wales for May 2018"
"Prepared at 13:00 UTC on Friday 17 August 2018   IDCJDW2124.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,12.2,25.1,0.2,2.8,10.2,,,,15.0,72,2,,,1027.6,23.4,40,1,,,1024.1
,2018-05-2,14.0,23.3,0,4.0,4.9,,,,16.5,74,7,,,1023.2,21.3,66,7,ENE,11,1018.6
,2018-05-3,14.0,25.7,0,2.8,9.3,NE,26,13:27,16.7,76,1,WNW,9,1020.3,25.1,52,6,NE,17,1016.3
,2018-05-4,16.6,26.8,0,6.8,7.8,WNW,67,14:59,22.3,48,5,NW,15,1013.7,24.6,27,1,WNW,35,1013.3
,2018-05-5,12.6,22.9,0,7.6,10.3,W,31,00:16,14.8,49,0,WSW,19,1027.5,21.0,33,0,ENE,13,1026.6
,2018-05-6,10.4,22.5,0,3.8,10.0,WNW,26,08:59,13.5,62,0,WNW,20,1032.0,21.7,43,1,E,11,1028.9
,2018-05-7,12.3,25.7,0,5.2,10.0,NNE,41,21:15,15.5,71,0,W,11,1026.4,22.9,53,1,NE,22,1020.4
,2018-05-8,13.4,26.3,0,,7.1,W,22,01:21,16.1,59,7,WNW,17,1022.6,24.1,42,4,ENE,13,1020.7
,2018-05-9,13.3,25.3,0,8.6,7.9,W,30,07:53,16.5,74,3,WNW,13,1021.7,22.6,58,0,E,13,1016.3
,2018-05-10,14.9,25.9,0,3.0,5.9,NW,61,14:45,18.4,47,6,WNW,6,1011.8,24.3,20,6,NW,30,1005.1
,2018-05-11,10.1,16.5,0,8.0,10.0,W,59,11:49,11.7,46,1,NW,28,1009.7,16.4,31,1,NW,31,1007.7
,2018-05-12,11.1,16.8,3.6,6.4,1.7,W,67,12:44,15.1,57,8,WSW,28,1008.1,16.2,57,7,WSW,35,1010.5
,2018-05-13,13.7,18.0,0.8,3.6,2.8,S,59,16:13,15.3,65,5,SW,24,1019.3,16.1,70,7,WSW,19,1019.8
,2018-05-14,13.4,19.8,13.4,2.0,7.3,SSW,52,12:08,15.7,72,5,SW,17,1025.4,19.2,50,5,SSW,20,1023.7
,2018-05-15,10.8,20.6,0.2,3.6,9.8,W,33,07:11,13.3,68,1,WNW,20,1023.5,20.5,47,3,SE,15,1020.8
,2018-05-16,11.6,19.2,0,4.6,7.7,SSW,39,11:39,14.3,66,6,W,15,1027.0,18.2,58,2,S,19,1025.7
,2018-05-17,9.4,19.9,0,3.2,9.8,W,24,06:31,12.6,71,1,W,17,1027.2,17.7,58,1,E,15,1022.5
,2018-05-18,9.4,21.4,0,2.6,9.8,W,30,08:50,12.3,57,1,W,24,1021.7,20.8,36,1,SE,19,1019.7
,2018-05-19,10.3,20.1,0,3.4,7.8,W,31,07:42,12.4,66,6,W,20,1024.1,18.6,52,2,ESE,17,1020.2
,2018-05-20,9.2,21.9,0,3.4,9.8,W,39,10:12,11.6,58,0,W,19,1020.4,21.6,28,0,NE,2,1017.3
,2018-05-21,11.5,22.2,0,2.4,9.7,,,,16.5,54,1,WNW,24,1019.7,21.6,30,1,,,1017.3
,2018-05-22,11.7,24.6,0,5.2,9.7,W,35,09:39,14.4,52,1,W,24,1019.7,23.6,30,2,W,20,1017.4
,2018-05-23,13.2,20.9,0,3.4,9.7,W,28,00:05,15.2,64,1,WNW,17,1025.5,19.5,55,0,E,13,1022.9
,2018-05-24,11.0,19.5,0,3.0,5.5,S,30,12:52,13.6,73,2,WNW,20,1025.0,18.6,63,5,SSE,20,1022.6
,2018-05-25,13.5,19.3,0,3.4,5.3,S,26,08:09,17.4,54,6,S,13,1029.2,19.3,54,3,SE,15,1027.9
,2018-05-26,10.0,20.1,0,3.6,9.1,W,26,07:22,11.8,79,0,WNW,17,1031.0,18.8,55,1,ENE,17,1027.1
,2018-05-27,10.4,20.7,0,2.6,7.6,E,26,13:49,12.1,78,2,WNW,17,1029.4,19.4,55,6,ENE,17,1026.2
,2018-05-28,12.0,21.1,0,2.6,4.5,W,20,02:02,13.6,76,7,WNW,11,1026.0,19.0,59,7,E,17,1021.9
,2018-05-29,11.5,25.6,0,2.4,9.5,SW,41,21:25,13.1,77,1,WNW,15,1020.6,22.9,47,1,NE,17,1016.2
,2018-05-30,13.1,17.7,3.4,4.6,5.2,S,50,14:31,14.5,60,1,W,24,1018.0,14.5,65,7,S,26,1018.2
,2018-05-31,9.5,18.2,1.6,3.1,8.7,S,65,18:29,12.2,53,1,W,24,1020.1,17.1,31,1,S,28,1020.0
