"Daily Weather Observations for Sydney, New South Wales for June 2018"
"Prepared at 16:00 UTC on Thursday 16 August 2018   IDCJDW2124.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,11.7,16.4,0,5.0,3.2,SW,57,03:15,12.9,67,6,SW,30,1023.2,15.6,55,5,S,24,1022.0
,2018-06-2,10.9,16.0,0.4,3.8,1.1,SW,70,10:50,14.0,62,7,SW,31,1019.0,15.5,70,7,SW,24,1017.6
,2018-06-3,13.3,19.4,0.4,0.8,5.6,SW,43,01:43,15.6,70,6,SSW,24,1020.5,17.0,64,2,SSW,24,1018.8
,2018-06-4,10.7,18.9,3.6,3.0,4.8,SSE,48,16:55,12.8,76,3,W,17,1020.1,16.1,65,6,SSW,24,1019.6
,2018-06-5,10.8,15.1,2.8,2.0,0.1,SSW,35,11:20,11.3,82,7,W,17,1025.7,14.8,80,7,SSW,20,1025.6
,2018-06-6,11.3,16.8,32.6,,0.0,ENE,37,22:09,12.6,90,7,WNW,11,1030.4,14.4,84,8,SE,4,1030.0
,2018-06-7,10.2,19.5,16.6,1.2,5.4,WNW,26,00:01,11.3,92,5,W,15,1032.4,19.2,46,1,NNE,17,1029.2
,2018-06-8,11.2,17.0,0,2.8,0.0,NW,22,21:44,14.0,70,8,NNW,9,1026.2,17.0,60,8,N,11,1021.4
,2018-06-9,12.5,15.5,6.8,0.4,0.2,NNW,26,01:09,13.4,82,8,W,17,1022.8,15.1,74,8,W,13,1020.8
,2018-06-10,10.2,17.1,4.0,0.4,2.5,SSW,46,12:56,12.3,86,3,W,20,1025.2,15.2,77,7,SSW,26,1024.1
,2018-06-11,10.3,18.9,11.4,2.8,6.4,SSW,37,12:44,11.9,81,1,WNW,22,1023.9,17.3,62,6,SE,22,1020.6
,2018-06-12,8.5,18.2,0,2.6,5.4,N,26,15:03,10.7,85,7,W,11,1014.5,18.1,56,1,NE,11,1008.4
,2018-06-13,10.7,19.7,0,0.8,8.0,WNW,26,12:21,12.5,66,7,W,15,1010.8,18.8,44,6,WNW,13,1009.2
,2018-06-14,10.6,19.7,0,2.8,9.6,WNW,39,15:43,12.2,64,1,NW,15,1014.7,19.6,31,1,NW,20,1013.6
,2018-06-15,11.6,20.1,0.2,4.6,8.0,W,59,16:47,14.2,45,1,NNW,22,1015.0,19.8,30,2,NW,31,1011.7
,2018-06-16,9.0,18.1,0,6.0,9.3,WNW,50,14:10,12.1,46,1,NW,6,1016.4,16.8,28,2,NW,31,1012.0
,2018-06-17,9.1,15.8,0,4.4,9.1,W,61,15:07,10.8,48,1,WNW,19,1011.8,15.0,31,2,W,35,1009.9
,2018-06-18,9.9,16.4,0.2,4.4,2.2,S,67,16:33,11.3,64,7,W,24,1015.4,15.3,55,5,SSW,28,1016.4
,2018-06-19,9.0,14.7,15.0,3.2,0.8,ESE,70,17:14,11.5,85,7,WSW,22,1021.4,14.0,74,7,WSW,19,1021.3
,2018-06-20,11.1,18.0,43.0,4.4,5.9,SSE,43,01:03,11.5,85,6,WNW,22,1027.7,15.2,69,5,SSW,13,1026.2
,2018-06-21,10.1,16.1,6.0,2.2,0.2,W,28,05:57,10.4,88,8,W,19,1028.8,15.8,70,6,WNW,4,1026.6
,2018-06-22,8.2,19.2,0.2,0.2,8.9,W,24,03:06,9.7,88,1,WNW,17,1028.8,17.7,57,1,ENE,13,1025.8
,2018-06-23,7.3,20.0,0.2,3.0,9.4,SSW,28,23:38,9.4,75,3,WNW,17,1025.3,19.6,36,2,NW,6,1022.3
,2018-06-24,7.1,17.4,,4.0,9.0,SSE,31,13:53,8.7,65,1,W,22,1027.8,16.7,45,1,SSE,17,1025.5
,2018-06-25,6.4,18.4,0,1.6,9.2,W,28,01:49,8.6,71,1,WNW,22,1031.4,16.9,43,1,SE,13,1029.1
,2018-06-26,6.8,18.5,0,2.6,4.3,W,26,09:03,9.1,76,5,W,20,1034.5,17.7,56,3,SSE,9,1031.8
,2018-06-27,9.0,16.7,1.0,1.4,2.9,ENE,37,18:55,10.7,87,6,WNW,13,1032.7,16.1,71,6,ESE,11,1028.8
,2018-06-28,10.7,20.3,22.4,2.8,4.3,W,59,15:09,13.8,88,7, ,Calm,1025.3,17.7,66,7,ENE,9,1021.3
,2018-06-29,6.3,15.4,8.8,1.2,7.6,W,35,04:55,7.6,90,1,W,17,1022.1,14.4,51,7,WNW,15,1019.9
,2018-06-30,7.5,19.5,0,2.6,9.4,W,41,16:59,10.9,70,2,WNW,7,1022.0,19.2,31,2,WNW,20,1020.9
