"Daily Weather Observations for Sydney, New South Wales for October 2018"
"Prepared at 13:00 UTC on Saturday 10 August 2019   IDCJDW2124.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,10.6,20.4,0,5.4,10.9,,,,16.9,57,1,,,1029.6,19.1,56,1,,,1025.8
,2018-10-2,12.5,21.5,0,7.2,10.9,,,,19.0,52,2,,,1028.1,20.0,55,1,,,1023.6
,2018-10-3,13.6,23.7,0,7.0,4.2,,,,19.9,57,7,,,1019.2,21.9,55,8,,,1014.7
,2018-10-4,16.2,16.5,2.2,3.4,0.0,,,,16.4,86,8,,,1018.4,15.1,87,8,,,1015.9
,2018-10-5,14.3,15.6,44.4,6.2,0.0,,,,14.7,88,8,,,1021.8,14.8,86,8,,,1021.4
,2018-10-6,13.6,19.6,29.4,1.6,4.9,,,,14.7,88,7,,,1023.6,18.5,47,2,,,1021.0
,2018-10-7,12.1,17.6,2.2,5.4,0.4,,,,12.8,85,7,,,1021.1,16.2,81,8,,,1018.0
,2018-10-8,12.8,21.1,13.8,1.8,4.5,,,,16.0,82,7,,,1017.2,19.8,66,7,,,1016.0
,2018-10-9,13.1,23.2,2.2,1.8,7.0,,,,16.7,75,4,,,1015.5,20.6,63,6,,,1011.6
,2018-10-10,16.4,17.3,0,2.4,0.0,,,,16.9,77,8,,,1016.3,15.5,72,8,,,1019.9
,2018-10-11,13.4,19.3,13.4,7.2,1.6,,,,14.6,71,7,,,1024.1,15.1,73,7,,,1023.7
,2018-10-12,12.8,18.6,7.6,2.6,1.8,,,,14.3,79,8,,,1027.4,17.5,65,7,SSE,24,1025.8
,2018-10-13,12.1,20.2,4.8,3.2,5.5,E,54,17:06,13.6,88,5,WNW,9,1026.6,17.3,77,7,E,24,1024.5
,2018-10-14,13.4,21.1,12.6,4.2,5.5,E,59,17:07,18.1,69,7,E,30,1026.7,19.9,61,5,E,24,1024.9
,2018-10-15,15.5,21.6,6.8,4.0,3.0,ENE,52,11:04,17.1,90,7,N,2,1026.6,21.0,66,5,ENE,26,1023.7
,2018-10-16,17.0,22.5,4.6,5.4,10.3,NE,50,11:57,20.5,70,5,NE,19,1023.5,22.0,65,5,NE,28,1020.3
,2018-10-17,18.4,23.8,0.4,7.6,3.2,,,,19.6,86,7,NNE,4,1018.4,20.3,84,8,NE,20,1015.6
,2018-10-18,17.8,23.9,5.2,3.2,3.0,NNE,44,17:24,19.3,85,5,W,9,1017.4,21.9,71,6,NE,20,1015.3
,2018-10-19,17.6,25.6,2.2,4.0,9.4,NE,46,17:28,18.5,89,8,W,9,1018.3,23.0,68,1,ENE,13,1014.5
,2018-10-20,18.3,25.8,0,6.2,4.7,W,57,16:55,21.6,73,7,E,13,1013.4,22.5,68,7,ENE,6,1009.8
,2018-10-21,15.4,21.3,12.6,7.0,4.6,S,52,05:24,15.6,77,8,SSW,24,1017.6,19.9,59,7,SSE,24,1015.7
,2018-10-22,15.6,22.3,0,5.0,10.1,ENE,37,14:25,19.6,68,7,WNW,9,1018.8,21.5,60,1,ENE,26,1015.7
,2018-10-23,15.6,23.9,0,5.4,12.0,NE,39,16:41,21.8,63,5,ESE,9,1015.7,22.7,64,7,E,17,1011.0
,2018-10-24,16.3,20.4,0,9.6,5.9,SSW,70,01:41,18.8,64,4,SSW,30,1020.0,19.2,56,6,SSE,31,1020.7
,2018-10-25,15.4,22.1,0,5.8,9.7,ENE,31,15:42,17.8,64,6,W,13,1021.6,21.2,58,5,E,19,1016.8
,2018-10-26,15.8,22.9,0,4.6,7.2,SSW,44,08:27,18.2,75,7,SSW,22,1016.3,21.4,53,3,SE,24,1015.2
,2018-10-27,15.3,23.4,0,5.6,10.9,NNE,44,16:40,18.9,62,3,W,9,1014.4,22.0,56,3,NE,22,1009.3
,2018-10-28,15.9,20.1,3.2,8.6,6.5,SSE,57,08:48,17.4,51,7,S,30,1016.8,19.3,51,7,SSE,22,1017.1
,2018-10-29,16.6,20.9,0,7.2,2.9,E,24,11:58,17.8,61,8,N,9,1019.0,20.3,50,7,E,19,1018.0
,2018-10-30,13.9,24.5,0,4.0,11.8,NE,43,14:30,20.6,53,0,N,20,1020.2,24.2,51,1,NE,24,1014.6
,2018-10-31,17.2,26.9,0,8.0,10.7,ESE,31,15:35,22.3,59,3,SSW,7,1019.1,23.6,63,3,E,19,1017.4
