"Daily Weather Observations for Sydney, New South Wales for November 2018"
"Prepared at 13:00 UTC on Friday  9 August 2019   IDCJDW2124.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,19.1,29.9,0,6.0,10.2,ENE,35,16:00,21.1,72,7,ESE,7,1022.7,25.2,61,6,ENE,24,1017.5
,2018-11-2,20.8,37.1,0,9.6,8.3,NNW,67,11:48,29.6,24,7,NW,30,1016.7,36.6,14,5,NNW,24,1011.0
,2018-11-3,21.4,33.9,5.0,15.6,9.3,W,50,10:37,28.3,46,1,WNW,13,1011.6,26.6,47,7,ESE,17,1010.1
,2018-11-4,19.0,24.3,0,8.4,10.0,NE,44,13:51,22.3,57,6,E,9,1016.0,22.9,62,7,NE,30,1010.9
,2018-11-5,18.3,25.6,0,8.0,2.6,E,22,11:14,19.5,84,7,W,11,1011.1,22.1,77,8,E,11,1009.4
,2018-11-6,19.5,29.8,0,5.2,2.2,W,35,07:12,25.1,51,7,SSE,4,1008.1,26.7,61,8,ESE,13,1004.2
,2018-11-7,22.5,24.0,0.2,5.0,0.0,SW,63,19:40,23.6,66,7,SSE,13,1005.4,20.8,85,8,E,4,1005.8
,2018-11-8,11.6,20.9,21.8,2.6,11.5,W,46,00:12,16.3,51,1,SSW,22,1015.5,20.0,41,1,SE,28,1016.7
,2018-11-9,12.6,21.1,0,7.4,11.8,NNE,46,20:19,17.6,51,7,W,9,1022.8,20.2,45,7,NE,22,1018.4
,2018-11-10,14.4,24.1,0,7.8,11.9,S,39,08:47,19.6,59,6,S,17,1018.7,22.2,41,3,ESE,26,1017.9
,2018-11-11,14.2,23.0,0,7.4,12.5,E,37,15:50,19.5,65,1,W,7,1021.7,22.0,53,1,E,28,1019.8
,2018-11-12,15.5,23.7,0,7.4,11.3,E,31,14:30,22.0,60,4,E,7,1024.0,22.3,54,1,ENE,24,1020.7
,2018-11-13,18.3,24.7,0,8.0,9.0,NE,54,14:49,23.3,46,6,NE,17,1019.9,23.9,55,6,NE,33,1016.7
,2018-11-14,19.3,22.4,0,9.0,0.0,NE,31,23:02,20.0,72,8,NNE,4,1016.5,20.8,73,8,NE,13,1014.7
,2018-11-15,18.2,24.5,0.2,3.6,4.9,SSE,52,13:09,22.2,67,3,S,22,1018.0,18.8,82,7,SSE,28,1018.9
,2018-11-16,16.5,21.6,2.2,3.8,6.1,SSW,37,06:14,17.3,71,8,SSW,17,1021.4,20.8,57,7,ESE,17,1019.0
,2018-11-17,15.1,23.3,0,4.0,8.3,SE,48,14:33,20.0,65,5,SSW,17,1019.3,22.3,57,3,SSE,26,1019.5
,2018-11-18,15.7,23.4,2.6,7.8,9.7,SSE,39,02:10,20.6,50,4,SE,19,1023.8,21.4,50,5,ESE,24,1022.9
,2018-11-19,13.8,23.3,0,6.6,8.7,E,35,14:17,18.4,66,7,WNW,9,1022.5,21.5,50,6,E,26,1018.6
,2018-11-20,16.2,24.9,0,6.6,10.1,NNE,54,17:28,23.2,50,4,ENE,9,1015.2,23.7,54,5,NE,28,1008.8
,2018-11-21,21.1,27.3,0,8.8,0.5,W,85,17:47,24.9,60,8,N,9,1001.7,26.8,47,8,N,11,998.8
,2018-11-22,18.2,24.6,8.0,5.8,10.9,W,74,11:18,18.8,66,6,NW,30,997.5,23.2,19,1,WNW,37,997.5
,2018-11-23,14.5,23.4,0,14.8,12.7,WNW,78,09:45,17.6,35,4,W,48,999.8,22.8,25,1,WNW,41,997.6
,2018-11-24,15.2,23.2,0.2,12.0,8.6,WSW,63,00:02,19.6,39,1,W,28,1002.5,22.2,36,7,E,17,1001.2
,2018-11-25,14.5,24.9,0,6.0,11.5,SSW,46,20:44,19.3,47,7,W,15,1002.0,22.7,32,2,ESE,26,998.9
,2018-11-26,15.9,24.4,0,8.0,11.1,SW,50,10:12,21.0,46,4,SSW,26,1004.9,24.1,47,2,S,31,1005.6
,2018-11-27,17.9,24.1,0,6.8,4.5,ENE,39,16:44,20.4,65,7,N,6,1007.5,22.0,59,7,E,26,1004.5
,2018-11-28,18.8,19.5,105.6,4.2,0.0,E,72,09:20,18.9,90,7,E,37,998.6,19.4,78,8,SE,41,997.4
,2018-11-29,15.2,23.3,30.2,7.2,7.3,SW,61,12:22,17.2,76,7,SSW,24,1008.7,21.8,58,4,S,30,1009.7
,2018-11-30,15.6,24.5,0.2,4.0,12.8,W,28,01:06,21.0,55,2,S,11,1012.4,23.3,53,1,E,17,1009.2
