"Daily Weather Observations for Sydney, New South Wales for June 2019"
"Prepared at 16:00 UTC on Friday 16 August 2019   IDCJDW2124.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,10.0,20.4,0,3.4,5.9,SSW,44,14:19,12.2,66,6,W,24,1028.1,18.8,57,5,S,26,1026.5
,2019-06-2,10.7,20.8,0,1.6,4.6,W,30,06:36,12.5,71,1,WNW,22,1027.1,18.6,61,7,SSW,6,1022.7
,2019-06-3,12.5,17.6,0,1.2,3.4,W,48,16:46,12.9,76,2,W,13,1015.2,16.9,46,5,W,11,1010.8
,2019-06-4,7.5,14.1,18.2,3.6,1.1,SW,74,11:58,9.3,88,8,W,31,1011.6,12.1,76,7,SW,30,1015.2
,2019-06-5,9.3,15.2,11.6,1.0,2.3,SW,52,07:54,9.8,83,7,W,20,1026.2,13.4,78,7,SSW,15,1025.6
,2019-06-6,7.5,19.6,12.8,1.1,9.5,SSW,33,15:29,9.5,70,1,W,20,1030.0,18.0,42,1,SSW,17,1029.5
,2019-06-7,9.5,14.9,0.2,3.6,0.0,W,30,05:40,11.2,75,7,NW,13,1035.8,14.4,85,7,W,6,1033.6
,2019-06-8,11.2,14.8,4.2,0.0,0.0,W,24,06:10,11.8,92,7,W,17,1032.2,14.7,84,7,W,6,1027.9
,2019-06-9,11.1,22.2,0,0.4,8.6,,,,12.2,88,1,W,20,1024.8,22.0,41,3,W,4,1021.0
,2019-06-10,11.9,22.0,0,3.4,7.8,,,,12.7,80,1,,,1020.6,21.6,50,3,,,1015.8
,2019-06-11,12.1,23.3,0,2.8,9.6,,,,13.3,80,1,,,1023.5,21.1,45,1,,,1023.3
,2019-06-12,11.1,22.0,0,3.2,4.5,,,,12.6,84,6,,,1022.3,21.2,57,6,NNE,11,1018.7
,2019-06-13,12.6,22.7,0,1.8,1.8,NNW,33,07:21,20.0,43,6,NNW,24,1015.8,21.8,48,6,W,13,1013.5
,2019-06-14,10.2,19.1,0,2.6,6.3,W,37,08:43,12.4,55,7,W,28,1020.6,18.2,39,7,NW,11,1017.6
,2019-06-15,9.0,20.4,0,3.0,8.9,W,31,08:53,11.6,66,1,W,22,1021.3,18.9,39,2,SSE,13,1019.3
,2019-06-16,11.6,15.3,22.4,3.6,0.0,W,26,02:34,13.0,90,8,NNW,13,1021.4,14.8,79,8,SSE,9,1019.0
,2019-06-17,11.2,15.6,4.0,0.8,0.0,SW,41,15:34,11.8,85,6,WSW,13,1020.2,13.8,88,6,SW,22,1018.8
,2019-06-18,11.1,18.7,33.6,1.2,1.6,WSW,31,22:10,11.9,86,7,W,15,1020.2,18.1,57,7,SW,6,1016.7
,2019-06-19,9.1,17.3,0.2,2.4,9.1,S,39,13:15,11.0,58,1,W,24,1021.7,16.7,41,1,S,20,1021.2
,2019-06-20,6.1,16.5,0,2.6,6.9,W,30,03:28,8.1,68,2,W,22,1025.0,14.9,53,6,SSE,13,1021.8
,2019-06-21,7.5,15.9,0,1.8,8.9,W,44,08:18,7.8,60,1,W,30,1023.2,15.0,38,2,SSW,19,1022.6
,2019-06-22,6.8,15.9,0,3.6,4.7,SSW,48,12:44,8.8,58,5,W,26,1026.2,14.4,56,7,SSW,20,1024.9
,2019-06-23,7.1,16.8,2.0,3.6,4.5,SSW,48,18:02,9.4,73,6,W,20,1027.2,14.3,61,7,SSW,24,1025.6
,2019-06-24,9.4,18.0,34.2,2.4,2.1,SSE,46,12:15,11.1,91,7,WNW,13,1030.9,14.5,82,6,SSE,13,1030.2
,2019-06-25,11.1,16.9,11.2,3.2,4.4,SSE,30,12:26,12.2,91,3,WNW,13,1033.9,15.7,78,7,SSE,15,1032.5
,2019-06-26,11.9,18.7,14.0,1.0,3.9,SSE,33,12:09,13.1,90,6,WNW,7,1036.0,17.8,59,5,SSE,19,1034.4
,2019-06-27,10.6,20.1,2.6,2.8,8.3,WNW,24,02:00,11.6,90,1,WNW,15,1035.8,18.8,57,2,ESE,9,1032.8
,2019-06-28,11.6,20.5,0.2,0.4,8.7,NNE,33,12:43,12.0,87,3,W,17,1033.7,19.3,59,2,ENE,17,1029.2
,2019-06-29,9.6,20.8,0,4.0,7.4,NE,46,15:59,10.4,90,,WNW,17,1027.4,18.7,58,2,NE,28,1020.7
,2019-06-30,10.4,18.0,0,4.0,9.3,WSW,46,03:16,13.4,51,1,SSW,9,1022.2,17.5,34,5,WNW,20,1020.3
