"Daily Weather Observations for Sydney, New South Wales for August 2019"
"Prepared at 13:00 UTC on Wednesday 12 August 2020   IDCJDW2124.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,9.7,20.5,2.8,3.4,8.5,WNW,28,07:53,11.2,72,1,W,20,1030.4,20.1,39,1,E,11,1027.4
,2019-08-2,9.7,18.9,0.2,2.4,6.5,WNW,28,02:37,11.2,74,4,W,17,1031.7,18.6,50,3,NE,4,1028.8
,2019-08-3,8.1,22.5,0,2.4,10.1,SE,30,15:54,10.7,75,1,WNW,17,1028.4,20.8,26,1,ESE,20,1024.5
,2019-08-4,7.9,19.3,0,2.8,8.4,W,35,03:17,10.1,59,3,W,24,1029.3,17.6,57,5,SE,15,1026.4
,2019-08-5,9.5,19.7,0,2.4,9.7,ENE,28,14:43,12.0,78,3,WNW,17,1026.1,19.3,58,1,NE,19,1021.6
,2019-08-6,7.4,19.3,0,3.8,10.2,WNW,26,02:41,10.1,52,0,WNW,19,1021.4,19.1,37,0,ENE,13,1016.4
,2019-08-7,7.1,23.4,0,3.8,10.2,ENE,30,15:44,12.4,45,1,ESE,4,1014.9,20.9,33,1,ENE,20,1009.4
,2019-08-8,9.9,20.2,0,3.4,7.7,W,74,13:53,16.7,36,6,NNW,22,1003.6,17.7,35,2,W,43,1001.0
,2019-08-9,12.5,17.2,0,8.0,10.2,WNW,87,10:18,15.0,39,1,WNW,33,1000.6,16.8,28,1,WNW,37,1000.3
,2019-08-10,9.5,15.5,0,9.6,10.2,W,69,11:06,10.6,51,1,NW,33,1001.7,14.3,28,1,W,30,999.6
,2019-08-11,8.8,16.1,0,5.6,6.6,NW,56,09:12,11.5,46,7,NW,30,1002.8,15.1,29,7,WSW,30,1003.7
,2019-08-12,9.3,19.0,0.2,2.8,7.2,W,44,01:29,11.7,53,5,W,28,1018.8,17.7,38,1,SSW,20,1019.0
,2019-08-13,7.5,18.6,0,3.4,10.2,W,31,08:29,10.6,54,1,W,22,1026.1,16.7,45,1,E,13,1024.1
,2019-08-14,7.6,19.3,0,3.0,10.2,W,30,08:15,10.4,59,1,WNW,20,1029.6,17.5,46,1,E,15,1025.3
,2019-08-15,6.4,21.1,0,4.8,10.4,W,28,04:15,10.0,55,1,WNW,13,1026.6,20.5,23,0,ENE,20,1021.8
,2019-08-16,7.0,24.6,0,2.4,10.2,W,26,03:49,11.2,50,2,W,17,1019.6,21.7,28,1,E,19,1014.8
,2019-08-17,11.2,20.4,0,6.2,10.3,SSE,39,11:30,15.7,46,3,W,17,1019.3,19.0,40,1,SSE,22,1019.5
,2019-08-18,9.3,19.9,0,3.8,10.4,WSW,54,22:45,13.2,68,1,WNW,9,1020.1,19.2,62,1,NE,28,1012.9
,2019-08-19,11.5,16.8,0,6.6,10.5,W,69,12:58,12.9,37,1,WNW,20,1015.3,15.3,23,2,W,48,1016.4
,2019-08-20,7.9,21.7,0,6.2,10.5,W,57,16:37,11.8,45,0,W,24,1023.5,20.8,21,1,W,31,1018.6
,2019-08-21,9.4,22.0,0,5.6,10.5,W,67,17:54,15.3,42,3,WNW,11,1016.0,21.1,28,1,WSW,39,1012.5
,2019-08-22,12.3,18.6,0,7.2,6.4,W,78,08:03,16.6,42,2,W,39,1011.8,15.1,43,6,S,31,1015.4
,2019-08-23,6.9,19.7,0,6.8,7.3,W,35,04:45,9.9,48,7,W,26,1027.6,18.2,36,0,ENE,17,1024.0
,2019-08-24,6.6,25.5,0,4.6,10.4,W,30,12:53,11.5,51,0,WNW,9,1021.1,24.9,16,0,WNW,17,1014.8
,2019-08-25,10.1,22.9,0,5.8,8.9,SE,43,13:43,14.7,45,0,WNW,15,1017.5,18.9,53,3,SSE,28,1017.4
,2019-08-26,13.4,15.8,0,3.0,1.3,ESE,35,20:29,13.8,83,7,SSW,17,1023.0,15.2,74,7,SSE,13,1021.3
,2019-08-27,12.5,17.5,3.8,3.0,4.2,SSE,35,13:16,15.6,72,7,SSE,13,1023.1,16.9,69,7,SSW,15,1021.2
,2019-08-28,9.8,21.1,0.4,2.4,10.2,WSW,30,23:57,13.5,74,1,WNW,15,1021.5,18.5,59,2,ENE,20,1016.2
,2019-08-29,10.7,14.5,0.2,2.6,0.0,SSE,57,22:49,14.4,69,7,SSW,30,1022.8,12.5,85,8,S,20,1022.3
,2019-08-30,11.1,14.8,43.0,6.4,0.1,SSE,56,12:07,13.2,78,8,S,22,1025.1,12.9,85,8,SSE,24,1023.6
,2019-08-31,11.9,17.3,22.4,2.8,0.0,SSE,41,02:00,14.5,79,6,SSW,15,1025.2,15.6,72,7,SSW,20,1022.1
