"Daily Weather Observations for Sydney, New South Wales for September 2019"
"Prepared at 13:00 UTC on Tuesday 11 August 2020   IDCJDW2124.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,9.9,23.4,0,2.8,10.7,NNE,31,18:43,13.6,65,1,WNW,20,1022.4,19.9,52,1,ENE,19,1018.1
,2019-09-2,11.8,20.6,0,5.0,10.7,SSE,48,13:36,15.2,58,1,WNW,24,1018.3,18.9,50,1,S,28,1017.4
,2019-09-3,10.6,23.2,0,3.2,10.6,WNW,26,07:16,15.5,59,1,WNW,17,1018.0,21.9,32,1,ENE,19,1014.3
,2019-09-4,10.4,27.7,0,4.0,10.2,W,44,18:12,15.2,53,0,W,15,1015.9,26.8,19,1,E,7,1010.8
,2019-09-5,14.9,20.8,0,7.2,10.1,S,30,03:59,17.6,59,1,WNW,13,1016.9,20.3,56,1,E,17,1013.4
,2019-09-6,14.4,28.8,0,3.8,6.9,W,91,19:06,19.9,56,2,NNE,24,1007.2,22.0,59,7,NE,11,997.5
,2019-09-7,11.0,19.2,0.2,8.0,10.9,W,74,10:17,15.6,34,1,WNW,35,1007.2,17.8,23,0,W,41,1006.5
,2019-09-8,11.7,19.9,0.2,8.0,10.8,W,67,08:20,13.8,32,1,W,43,1012.7,19.2,22,1,W,24,1009.4
,2019-09-9,11.0,17.4,0,5.0,8.0,W,57,11:02,13.1,36,3,W,37,1011.0,16.3,36,7,S,28,1012.1
,2019-09-10,8.3,17.4,0.2,8.2,8.2,SSE,54,11:22,12.9,44,6,S,6,1024.7,16.7,48,6,S,28,1025.0
,2019-09-11,8.1,19.2,0,4.0,10.4,W,28,08:02,13.2,60,5,WNW,13,1031.5,18.1,50,1,E,19,1027.9
,2019-09-12,9.1,26.8,0,3.8,7.5,WNW,33,15:14,13.7,65,7,W,13,1023.8,25.5,14,7,WNW,17,1016.8
,2019-09-13,13.7,19.6,0,6.4,7.8,S,35,03:10,17.2,64,5,SE,20,1024.7,18.5,56,3,E,17,1020.3
,2019-09-14,11.7,20.5,0,4.8,10.3,SW,37,06:59,18.9,48,2,SSW,15,1023.5,18.9,46,1,ESE,20,1022.0
,2019-09-15,9.5,27.7,0,5.2,10.6,NNE,28,16:08,16.7,52,1,WNW,17,1022.7,22.9,37,7,ENE,13,1018.0
,2019-09-16,15.7,27.0,0,6.2,2.4,SSE,74,14:53,22.7,16,7,W,7,1015.3,19.4,66,7,S,50,1014.0
,2019-09-17,8.8,14.6,19.2,4.2,0.0,SE,67,18:33,10.7,90,8,SSW,20,1022.0,13.9,88,8,SE,28,1020.4
,2019-09-18,10.6,17.9,65.6,,0.1,SSE,57,09:58,14.5,89,8,SSE,35,1025.4,17.2,88,8,SE,13,1023.9
,2019-09-19,14.5,20.6,27.0,4.4,5.4,ENE,35,17:01,16.3,88,7,SE,2,1027.2,20.6,68,6,E,22,1024.9
,2019-09-20,16.3,20.6,0.2,2.6,9.1,ENE,46,11:16,19.7,68,7,NE,19,1027.1,20.0,68,3,NE,22,1023.0
,2019-09-21,17.5,23.0,0,6.2,4.3,NE,43,13:19,19.0,72,7,NNE,19,1022.3,21.7,64,6,NE,26,1017.5
,2019-09-22,18.4,22.5,0.2,4.8,7.1,,,,19.2,62,5,WSW,13,1021.2,20.3,44,3,ESE,24,1019.5
,2019-09-23,12.4,22.4,0,6.2,7.6,W,44,17:58,17.0,44,1,WNW,9,1023.3,18.2,36,7,ESE,17,1020.4
,2019-09-24,9.5,20.7,0,5.0,11.1,E,33,14:46,15.5,39,1,WNW,19,1027.7,18.6,42,1,E,26,1023.5
,2019-09-25,9.7,21.9,0,6.6,11.0,ESE,37,14:10,16.3,42,1,WNW,13,1028.3,19.4,55,2,SE,20,1025.9
,2019-09-26,12.6,20.8,0,4.0,8.3,ENE,37,16:22,18.6,59,3,W,2,1026.9,19.2,61,3,ENE,24,1022.3
,2019-09-27,13.9,25.3,0,4.6,9.9,ENE,26,14:37,18.6,65,1,W,13,1019.6,22.1,52,7,ENE,20,1013.9
,2019-09-28,15.3,21.7,0,9.4,9.2,SSW,61,04:50,17.3,54,6,SSW,17,1016.7,18.4,39,1,SSE,33,1016.0
,2019-09-29,11.3,21.1,0,5.4,10.4,ENE,33,15:15,16.9,55,4,WNW,7,1019.0,18.9,53,1,E,24,1015.8
,2019-09-30,14.5,18.6,0,6.0,2.6,SSE,39,11:50,15.7,75,7,ESE,9,1024.4,15.4,65,7,SE,20,1025.3
