"Daily Weather Observations for Sydney, New South Wales for December 2019"
"Prepared at 13:00 UTC on Saturday  8 August 2020   IDCJDW2124.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,17.4,22.0,0,6.8,6.3,WNW,48,22:24,18.2,58,8,ENE,6,1006.9,21.1,58,2,ENE,22,999.2
,2019-12-2,16.7,23.1,0,8.8,6.3,WSW,70,16:39,18.8,35,7,W,26,994.5,21.7,25,3,W,35,993.5
,2019-12-3,14.1,28.4,0,8.0,10.7,W,41,19:23,19.7,30,0,W,17,1005.0,25.3,28,0,NE,19,1002.7
,2019-12-4,17.8,30.6,0,9.0,10.8,NE,31,13:27,23.8,27,0,NW,11,1009.0,27.0,27,0,E,17,1005.5
,2019-12-5,16.1,34.4,0,7.0,10.7,S,37,21:43,24.5,30,1,NW,13,1009.7,33.2,11,,E,17,1003.9
,2019-12-6,18.3,24.7,0,8.0,3.7,SSE,46,18:41,23.3,60,5,E,11,1007.0,23.9,65,,E,17,1003.6
,2019-12-7,18.6,25.1,0,5.0,7.9,ESE,39,21:16,22.2,60,3,E,2,1013.1,23.7,57,,E,22,1010.4
,2019-12-8,19.9,24.5,0,8.0,4.7,E,37,14:17,21.5,56,7,E,20,1019.5,23.6,53,5,E,24,1019.1
,2019-12-9,20.6,24.6,0,7.6,7.0,NNE,54,18:24,23.1,66,7,NE,20,1021.8,24.4,63,1,NE,26,1017.2
,2019-12-10,18.9,30.1,0,8.2,6.5,S,61,17:43,23.6,70,0,WNW,4,1012.9,25.3,63,7,SSE,26,1010.8
,2019-12-11,18.4,24.7,0,6.6,2.9,S,43,00:41,18.6,71,8,SW,19,1016.4,22.3,52,4,SE,20,1013.1
,2019-12-12,18.6,22.8,0,6.6,3.9,ESE,35,15:09,19.9,66,8,S,13,1014.5,22.1,53,8,ESE,20,1012.8
,2019-12-13,18.4,23.4,0,7.2,0.7,ESE,33,13:49,20.1,65,8,E,7,1016.1,22.5,56,5,ESE,24,1013.2
,2019-12-14,19.6,26.0,0,4.2,6.7,SSE,33,17:47,22.2,66,4,W,4,1011.8,23.3,64,1,E,20,1008.3
,2019-12-15,20.6,26.5,0,7.6,4.2,NNE,35,18:29,22.9,70,7,W,4,1010.9,24.2,64,8,ENE,13,1005.7
,2019-12-16,19.5,24.1,0,6.6,9.1,S,65,03:12,22.5,57,3,S,20,1011.9,22.7,51,6,SE,31,1014.2
,2019-12-17,16.8,24.1,0,7.4,12.5,E,28,15:45,21.0,49,2,ENE,6,1020.6,23.5,45,0,ESE,20,1019.5
,2019-12-18,17.0,26.2,0,8.8,11.1,ENE,50,14:42,23.4,48,1,N,13,1020.4,24.7,51,1,NE,28,1017.2
,2019-12-19,19.1,39.3,0,11.2,6.1,S,59,14:43,25.0,53,0,WNW,13,1013.3,32.6,32,,ESE,7,1010.4
,2019-12-20,19.2,25.9,0,7.4,10.2,ENE,37,17:26,23.2,60,5,S,7,1020.8,24.7,56,0,E,19,1017.9
,2019-12-21,21.1,28.7,0,8.6,8.5,S,65,16:58,25.0,62,0,N,4,1014.2,27.4,57,0,E,19,1008.0
,2019-12-22,18.6,23.5,0,10.0,3.5,SSW,44,23:36,19.4,62,7,SSE,22,1021.4,22.2,46,7,SSE,20,1021.5
,2019-12-23,17.0,24.0,0,6.4,2.4,NNE,31,14:20,19.2,62,7,W,7,1021.0,23.1,52,6,NE,17,1017.5
,2019-12-24,19.2,26.9,0,5.2,1.9,E,31,10:28,23.1,77,7,E,17,1014.4,24.9,67,7,E,15,1013.8
,2019-12-25,21.7,26.6,1.4,4.4,10.5,ENE,43,15:39,23.8,65,5,ESE,13,1017.6,25.5,54,1,E,28,1016.1
,2019-12-26,21.0,27.2,0.2,8.6,12.1,NE,52,16:37,24.1,58,2,NE,13,1019.4,25.4,54,0,NE,26,1017.0
,2019-12-27,21.0,27.0,0,11.4,11.7,NE,54,17:56,24.6,52,1,NNE,19,1020.5,25.0,50,0,ENE,28,1018.6
,2019-12-28,20.1,28.7,0,12.0,11.4,NNE,56,18:12,24.0,57,0,ENE,13,1019.0,28.1,45,0,NE,20,1015.6
,2019-12-29,20.1,26.3,0,11.0,5.4,ENE,31,16:40,23.5,65,0,E,6,1016.8,26.1,56,,E,15,1013.8
,2019-12-30,20.1,27.3,0,5.8,10.3,NNE,43,15:47,23.0,71,,E,9,1014.6,26.9,51,,E,22,1010.5
,2019-12-31,20.7,35.3,0,8.2,9.7,S,69,17:28,26.8,56,,ESE,4,1007.7,33.7,27,1,NNE,26,1003.9
