"Daily Weather Observations for Sydney, New South Wales for January 2020"
"Prepared at 16:00 UTC on Friday  7 August 2020   IDCJDW2124.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,19.2,26.2,0,14.2,4.5,SSW,39,23:28,21.2,60,8,S,11,1014.8,24.3,54,5,ESE,24,1013.3
,2020-01-2,19.5,25.8,0,7.2,5.3,SSW,35,23:02,22.6,56,7,ESE,17,1019.9,25.1,49,7,ESE,20,1017.2
,2020-01-3,22.1,28.6,0,,8.2,NE,43,16:22,23.8,71,8,WNW,9,1017.5,26.0,66,0,E,26,1012.9
,2020-01-4,21.3,35.9,0,15.4,10.5,S,81,22:23,27.9,58,1,E,9,1010.4,34.5,32,3,E,20,1005.1
,2020-01-5,21.6,27.4,0,16.0,4.4,SSW,67,23:05,22.7,58,6,S,20,1018.5,24.1,53,6,S,26,1018.3
,2020-01-6,19.8,25.1,0,8.4,0.2,ESE,31,06:53,22.1,62,8,ESE,17,1020.9,24.7,57,8,E,17,1018.0
,2020-01-7,20.2,27.3,2.6,4.0,2.8,NE,37,18:44,22.4,80,8,ENE,4,1016.0,24.9,71,7,ENE,26,1011.7
,2020-01-8,21.3,28.0,2.8,5.6,0.3,S,48,14:00,22.9,72,,SSW,20,1015.8,27.5,54,,S,33,1014.3
,2020-01-9,21.4,26.7,0.2,6.8,0.2,SSW,33,07:18,21.8,76,7,SSW,15,1018.1,25.9,56,7,S,17,1016.8
,2020-01-10,21.7,28.7,0.2,3.8,8.1,NNE,52,18:01,24.4,73,7,NNE,11,1013.7,27.6,63,0,NE,24,1007.1
,2020-01-11,19.3,23.3,0.2,11.2,0.1,S,76,01:12,19.3,73,8,S,24,1012.8,22.5,48,7,S,22,1013.0
,2020-01-12,19.2,22.2,0,6.4,0.0,SSE,37,14:12,21.8,53,8,SE,15,1018.1,19.5,76,8,SSE,20,1018.5
,2020-01-13,17.4,25.9,0.4,2.4,9.8,ENE,33,17:28,20.1,73,4,WNW,13,1020.2,24.5,51,3,E,20,1017.8
,2020-01-14,19.2,26.3,0.2,9.6,8.9,E,33,16:57,23.9,66,7, ,Calm,1018.1,26.0,55,1,E,24,1016.0
,2020-01-15,19.1,26.2,0,7.0,8.1,E,31,16:08,22.7,73,1,WNW,4,1014.8,25.4,55,6,E,24,1011.0
,2020-01-16,21.5,26.5,0.6,6.2,0.0,S,46,17:54,22.0,81,8,N,2,1007.8,24.5,72,8,ENE,4,1005.4
,2020-01-17,18.8,22.1,24.6,6.8,0.0,SSW,50,07:36,18.8,88,8,SSW,22,1009.1,19.9,86,8,SSW,22,1009.2
,2020-01-18,18.6,23.0,30.6,3.2,0.0,SSW,52,09:15,21.4,80,8,SSW,28,1009.1,22.2,74,8,SW,17,1009.0
,2020-01-19,19.0,26.5,4.4,3.0,2.6,SSE,28,12:51,20.4,84,7,W,11,1008.9,25.0,62,7,S,13,1006.3
,2020-01-20,20.4,27.7,0,3.4,8.3,NE,44,14:41,25.4,65,5,ESE,4,1004.7,25.4,76,7,NE,17,999.2
,2020-01-21,19.8,32.0,2.6,6.6,12.9,ESE,37,12:47,25.9,36,1,WNW,17,1007.0,29.7,32,1,ESE,26,1006.6
,2020-01-22,20.4,31.8,0.2,9.6,12.3,NE,44,19:43,25.5,62,1,WNW,6,1011.6,27.9,63,1,E,30,1007.5
,2020-01-23,23.1,41.3,0,10.6,8.4,NNW,72,12:41,31.5,35,5,N,22,1003.5,40.8,15,4,NNW,41,998.9
,2020-01-24,23.2,26.5,0,15.6,0.0,NNW,52,23:34,23.3,72,7,SSW,19,1009.8,26.1,57,7,E,13,1009.7
,2020-01-25,22.5,28.6,1.6,4.6,5.2,ESE,28,02:59,25.6,67,8,ENE,15,1015.0,26.8,67,5,E,19,1013.0
,2020-01-26,24.5,32.0,0.2,7.4,9.6,NNE,59,17:45,26.9,73,6,E,7,1012.5,29.7,60,6,ENE,20,1009.1
,2020-01-27,22.8,29.3,0,9.4,4.5,S,54,23:42,24.1,73,7,S,15,1014.8,27.5,62,3,ESE,17,1012.2
,2020-01-28,23.2,30.3,0,7.4,6.6,S,44,19:35,25.6,74,6,W,6,1012.8,27.1,68,7,E,17,1009.3
,2020-01-29,23.2,29.3,0,6.0,3.1,S,39,23:45,24.5,62,7,S,17,1016.3,26.7,59,7,SE,15,1015.7
,2020-01-30,20.2,28.7,0,7.6,11.7,ENE,39,16:40,23.5,68,7,W,7,1018.2,28.5,53,7,ENE,28,1014.5
,2020-01-31,23.5,30.8,0,7.4,10.8,NE,50,19:11,26.5,69,1,NNE,4,1016.0,30.5,58,0,ENE,28,1012.1
