"Daily Weather Observations for Sydney, New South Wales for February 2020"
"Prepared at 13:00 UTC on Thursday 20 August 2020   IDCJDW2124.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,24.1,34.8,0,9.6,11.3,NNE,56,16:02,28.9,63,0,E,13,1011.1,34.0,43,1,NE,17,1007.3
,2020-02-2,24.8,30.7,0,10.0,3.1,SSE,44,15:08,25.7,70,4,S,13,1007.2,28.6,62,6,SE,26,1004.8
,2020-02-3,22.3,31.4,21.0,7.8,6.9,SSE,72,17:51,23.6,86,8,SSE,11,1005.9,28.1,59,5,E,19,1003.2
,2020-02-4,18.4,24.0,3.0,9.4,4.5,SSE,54,00:21,19.2,51,6,SSW,22,1020.7,21.7,49,7,ESE,20,1020.8
,2020-02-5,18.0,25.8,0,7.0,9.3,E,37,15:19,22.4,54,3,W,9,1021.2,25.6,51,7,E,20,1018.6
,2020-02-6,20.8,24.1,0.4,8.0,0.0,ENE,44,04:48,23.4,66,7,ENE,22,1022.0,23.1,71,7,E,9,1021.5
,2020-02-7,18.7,22.9,79.0,4.0,0.0,E,59,00:07,19.5,90,7,ESE,35,1021.0,21.3,90,7,ESE,28,1019.3
,2020-02-8,19.1,23.9,70.6,,0.0,ESE,70,14:56,22.8,76,7,E,24,1018.7,21.2,84,7,ENE,44,1017.4
,2020-02-9,19.4,22.3,66.0,,0.0,ESE,102,14:17,19.4,89,8,SE,43,1013.4,20.5,91,8,ESE,59,1007.8
,2020-02-10,19.3,26.9,176.0,,5.6,ESE,63,00:20,22.2,91,6, ,Calm,1010.1,26.4,68,5,E,20,1007.9
,2020-02-11,21.1,30.6,0,4.2,10.5,NE,44,15:16,22.8,76,4,W,11,1009.2,26.0,62,6,ENE,17,1007.3
,2020-02-12,22.2,26.0,0,7.8,2.3,ESE,33,14:48,24.6,75,5,E,6,1009.6,24.3,78,8,ESE,20,1009.4
,2020-02-13,21.9,26.2,7.2,3.0,0.9,ENE,35,13:00,24.3,88,7,ESE,17,1011.7,23.1,86,7,ENE,17,1010.7
,2020-02-14,20.5,27.8,4.8,4.0,12.1,SSE,35,13:09,23.5,72,2,SSE,17,1010.1,27.0,49,1,SSE,19,1006.9
,2020-02-15,18.7,28.3,0,8.0,8.2,ESE,26,11:07,21.9,72,1,WNW,11,1005.9,25.5,56,7,ESE,13,1006.3
,2020-02-16,20.4,27.7,0.8,4.4,9.3,ESE,30,13:15,22.9,63,2,SSW,9,1014.5,25.8,57,7,SE,20,1014.1
,2020-02-17,20.8,25.3,1.2,5.6,2.1,W,17,06:44,22.1,81,7,WNW,7,1014.9,24.4,68,7,ENE,11,1012.9
,2020-02-18,20.5,29.4,0.4,3.0,7.0,W,104,21:50,21.9,83,7,NNW,6,1010.1,29.0,56,7,NE,22,1005.3
,2020-02-19,20.3,29.4,10.2,9.8,12.1,W,44,08:59,23.9,44,0,W,22,1002.9,28.8,34,3,W,15,1002.6
,2020-02-20,18.2,25.6,0.2,9.8,10.2,ESE,39,14:21,20.2,66,5,SE,9,1010.6,23.8,47,2,SE,20,1011.0
,2020-02-21,20.1,25.3,0,7.0,6.8,SE,37,18:39,22.4,59,7,ESE,4,1016.4,24.9,54,7,ESE,19,1016.0
,2020-02-22,18.7,23.6,0,5.8,0.8,SSW,33,02:42,19.5,74,7,ENE,15,1024.0,22.9,60,7,ESE,6,1023.3
,2020-02-23,19.5,25.4,0,4.6,1.4,ENE,30,00:29,22.3,69,7,WNW,9,1024.7,24.7,51,7,NE,15,1023.1
,2020-02-24,19.4,28.0,0.6,4.2,11.6,ENE,31,13:59,23.1,61,6,WNW,7,1021.6,26.1,55,1,E,26,1019.1
,2020-02-25,20.4,28.4,0,8.0,11.1,NNE,48,17:14,24.1,68,1,NW,2,1017.3,28.3,52,5,ENE,28,1013.3
,2020-02-26,22.0,33.0,0,8.8,9.0,SSW,74,18:36,27.6,52,7,NW,6,1007.0,29.1,49,7,NW,11,1003.6
,2020-02-27,20.2,25.8,0.2,10.6,6.8,SSE,39,23:27,21.0,58,7,SSE,4,1011.8,25.7,49,2,E,28,1008.0
,2020-02-28,18.7,26.0,0,6.4,11.1,SSE,43,15:32,22.1,50,1,SSW,19,1010.7,23.7,54,7,SSE,19,1012.2
,2020-02-29,19.3,26.2,0,6.8,8.1,E,33,15:00,21.6,65,2,WNW,13,1017.7,25.5,50,7,E,22,1014.9
