"Daily Weather Observations for Sydney, New South Wales for July 2020"
"Prepared at 13:00 UTC on Friday 21 August 2020   IDCJDW2124.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,8.3,22.5,0,1.4,8.9,W,28,05:49,11.1,76,1,W,22,1022.2,21.5,36,1,E,6,1018.1
,2020-07-2,11.1,23.0,0.2,3.4,9.2,NNW,54,12:41,17.0,51,1,NNW,22,1016.4,21.5,38,3,NNW,35,1013.7
,2020-07-3,11.0,18.2,0,3.6,8.2,W,37,17:20,12.4,56,1,WNW,11,1020.9,17.9,33,2,W,19,1017.8
,2020-07-4,9.1,17.3,1.2,3.8,7.6,W,52,21:41,9.5,77,6,W,17,1019.8,16.9,35,1,SW,2,1018.7
,2020-07-5,9.1,19.3,0,3.4,8.6,W,39,09:53,11.2,58,1,W,20,1022.3,18.2,36,2,SSE,13,1021.1
,2020-07-6,8.3,19.4,0.2,2.4,9.2,W,31,03:58,9.8,71,1,W,24,1028.3,18.8,42,1,SSE,9,1026.0
,2020-07-7,9.8,17.0,0,3.0,3.5,S,37,18:11,11.2,69,2,WNW,19,1030.5,15.5,53,5,SW,11,1028.9
,2020-07-8,11.1,15.0,8.8,1.2,0.7,W,20,03:07,11.9,89,7,W,13,1031.6,14.3,71,7,ESE,2,1029.4
,2020-07-9,8.7,17.3,0,0.8,8.8,WNW,22,09:04,9.9,89,1,WNW,19,1031.6,16.4,70,2,ENE,19,1027.9
,2020-07-10,9.9,17.4,0,2.8,2.4,WNW,20,08:47,11.2,89,7,W,17,1027.4,16.6,67,7,WNW,7,1023.7
,2020-07-11,11.2,15.8,4.0,0.0,0.5,WNW,19,06:03,12.9,89,8,WNW,7,1018.2,15.6,81,7,WNW,6,1014.0
,2020-07-12,9.6,17.6,0.4,1.6,6.3,N,43,16:16,10.4,89,1,W,20,1016.5,15.8,60,5,ENE,9,1014.8
,2020-07-13,8.8,17.8,4.4,2.4,8.1,W,33,20:12,10.1,88,3,WNW,20,1018.9,17.1,49,4,SW,11,1016.5
,2020-07-14,10.1,16.1,17.6,1.2,3.3,SSE,74,10:30,14.4,74,7,S,30,1016.4,15.6,68,4,S,30,1016.9
,2020-07-15,11.0,15.1,14.6,1.6,2.1,SW,59,14:00,12.4,66,6,W,19,1018.4,13.9,63,7,SW,30,1016.4
,2020-07-16,9.7,15.3,0,4.4,2.1,SSW,57,14:18,11.5,55,4,W,26,1017.5,14.3,64,7,SW,24,1016.5
,2020-07-17,11.0,15.4,0.2,3.8,0.2,SSW,48,13:25,11.9,63,7,W,24,1020.5,15.1,62,7,SSW,20,1020.1
,2020-07-18,9.8,17.4,0.8,1.2,3.1,WSW,24,00:04,12.3,68,7,WNW,17,1022.1,16.8,51,7,E,7,1019.7
,2020-07-19,8.2,20.3,0.2,,7.3,W,22,07:32,9.7,83,5,WNW,15,1018.2,18.3,44,6,WNW,9,1013.6
,2020-07-20,9.7,18.9,0,5.0,9.7,W,46,06:30,12.9,36,1,WSW,24,1018.9,18.4,25,0,WSW,17,1018.0
,2020-07-21,8.1,17.7,0,4.0,9.7,W,37,06:41,10.4,60,1,W,24,1026.9,16.9,40,1,S,17,1026.2
,2020-07-22,7.1,19.5,0,2.6,8.1,WNW,26,04:57,9.8,69,7,W,20,1028.0,17.0,53,6,E,13,1024.2
,2020-07-23,7.3,19.5,0,2.2,9.6,W,26,08:09,9.8,71,1,W,19,1026.6,17.7,57,1,E,11,1024.1
,2020-07-24,8.5,18.1,0,2.8,8.7,E,24,13:37,10.1,85,1,WNW,13,1028.0,17.1,65,2,E,20,1025.3
,2020-07-25,9.6,17.5,0,3.0,1.6,ENE,33,19:59,10.0,90,7,WNW,6,1026.2,15.7,81,7,E,7,1023.4
,2020-07-26,10.0,16.6,5.6,0.4,0.0,SSE,74,19:53,13.6,91,8,W,9,1018.6,15.3,90,8,SSE,6,1011.6
,2020-07-27,13.6,16.1,75.0,25.4,0.0,SW,56,15:09,15.7,91,8,W,24,997.8,14.5,86,8,SSW,22,999.1
,2020-07-28,12.4,18.4,46.4,1.0,4.2,SSW,54,11:55,15.3,89,7,SW,26,1007.7,18.1,62,6,SSW,20,1009.8
,2020-07-29,10.4,19.8,3.4,2.6,9.2,S,33,11:59,13.6,67,2,WNW,17,1017.2,19.0,50,3,S,22,1015.6
,2020-07-30,10.1,19.1,0,4.0,9.4,SSE,39,15:55,11.8,74,1,WNW,20,1023.9,17.8,46,3,S,20,1023.1
,2020-07-31,8.5,18.1,0,2.6,9.6,W,26,08:43,11.1,67,1,WNW,20,1029.2,17.5,41,1,ESE,9,1026.3
